;;
1;Issue of Reviewed Data for Return to Vendor;
1;Issue of Vendor Data for Review;
1;Issue of Vendor Data to Contractor;
1;Issued for Action;
1;Issued for Award;
1;Issued for Client Approval;
1;Issued for Client Review;
1;Issued for Construction;
1;Issued for Detail Design;
1;Issued for Detailing;
1;Issued for Enquiry;
1;Issued for Fabrication;
1;Issued for Handover;
1;Issued for HAZOP;
1;Issued for Information;
1;Issued for Internal Review;
1;Issued for Material Oder;
1;Issued for Reference;
1;Issued for Signature;
1;Issued for Use;
